TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
com.thealgorithms.datastructures.trees.BSTRecursiveGeneric,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6425813008130081,138,15
